firstName,lastName,birthday,language,location
Anders,Baasmo,1960-07-17,English,United States
Johnny,Knoxville,1961-04-12,English,Korea
Renée,Zellweger,1969-04-10,Chinese,Canada
Sydney,Cope,1958-04-26,Chinese,Canada
Vanessa,Hudgens,1975-03-14,French,China
Kenan,Thompson,1979-11-29,Spanish,Canada
Craig,Fairbrass,1984-05-03,English,Canada
Meaghan,Martin,2001-12-06,Chinese,Korea
Annabeth,Gish,1958-11-10,English,France
Martin,Short,1959-10-16,English,Korea
David,Eagleman,1984-12-16,Spanish,Germany
Cha,In-pyo,1987-07-10,French,Korea
Johnny,Depp,1996-02-27,Chinese,Spain
Martin,L.,1979-04-22,French,France
Panji,Zoni,1960-09-13,English,Japan
Lee,Kang-sheng,1980-11-22,English,Canada
Timothy,Ware-Hill,1999-06-22,English,United States
Mikaela,Blake,1964-12-31,English,United States
Anil,Kapoor,1955-04-07,German,China
Maine,Mendoza,1982-08-19,Chinese,China
YaYa,Gosselin,2003-01-16,Korean,Korea
Jessica,Mila,2003-01-21,Korean,China
Ringgo,Agus,1999-12-03,English,Canada
Kathryn,Bernardo,1982-04-11,Korean,United States
Nils,dAulaire,1996-05-06,Japanese,Canada
Edward,Chen,1981-05-11,French,Spain
Josephine,Langford,1981-10-16,Korean,Korea
London,Hughes,1991-01-07,English,Canada
Michael,Brons,1983-02-09,Japanese,Spain
Justin,Fletcher,1973-06-25,Spanish,Korea
Ariana,Grande,1968-03-05,English,Japan
Uma,Thurman,1957-08-17,Japanese,United States
Mohamed,Saad,1982-01-08,Chinese,Canada
Rhys,Nicholson,1993-02-03,English,United States
Samantha,Mathis,1987-12-16,French,China
Pauly,Shore,1954-07-29,English,United States
Viola,Davis,1962-11-19,French,United States
Mohd,Syafie,1992-02-24,German,Germany
Kalidas,Jayaram,1955-10-01,English,United States
M.,Rajoli,2001-05-24,English,Canada
Mahesh,Jugal,1966-08-04,Chinese,Japan
Antonio,Sanint,1985-07-21,Japanese,Canada
Morgan,Oey,1955-03-16,French,Spain
Julia,Barretto,1995-03-17,English,France
McCoy,De,1955-11-29,Korean,Japan
Andrew,Schulz,2003-02-12,Chinese,Japan
Eddie,Garcia,1951-10-27,English,France
Forest,Whitaker,1965-10-27,French,Canada
Vir,Das,1998-11-09,French,Germany
Ben,Schnetzer,1959-07-25,Japanese,United States
Mel,Gibson,2002-05-27,Spanish,China
Lauren,Swickard,1986-09-04,Chinese,Japan
Brandon,Ingram,1983-01-26,Korean,Korea
Enrique,Gil,1988-03-20,English,United States
Bea,Alonzo,1999-12-11,German,Korea
Paolo,Ballesteros,1994-02-07,English,Canada
Elijah,Canlas,1985-04-14,German,United States
Elio,Germano,1957-12-02,French,Korea
André,Chiang,1989-12-13,English,Canada
Jennifer,Coolidge,1951-12-13,German,Spain
Amber,Frank,1956-05-25,English,Canada
Casey,Affleck,1960-01-08,Spanish,Japan
Li,Lingwei,1976-03-07,English,Japan
Jay,Hatton,1977-12-09,English,United States
Nat,Faxon,1979-05-26,English,United States
Kostja,Ullmann,1978-01-13,Korean,China
Gary,Oldman,1967-07-31,Chinese,France
Alyssa,Milano,2001-10-23,English,United States
Gerald,Anderson,1980-01-14,Korean,Germany
Sabrina,Ouazani,2001-01-29,English,China
Leandro,Hassum,1962-06-27,Chinese,Germany
Ari,Eldjárn,1999-02-05,Korean,China
Katarzyna,Sawczuk,1988-10-26,English,United States
Lucy,OConnell,1950-11-11,English,China
Tom,Hanks,1954-03-03,Chinese,China
Jon,Favreau,1982-05-23,English,Canada
Dakota,Fanning,2000-11-15,English,Canada
Mitchel,Musso,1980-05-29,German,Canada
Natalie,Palamides,1952-05-23,German,United States
Tom,Selleck,1999-08-23,Japanese,Canada
Kim,Chiu,1959-08-21,Chinese,Korea
Jelson,Bay,1985-10-26,English,Germany
Hermione,Corfield,1959-04-14,Chinese,Korea
Vlasta,Vrana,1966-09-04,English,Canada
Ryan,Phillippe,1994-05-28,French,Canada
Alan,C.,1965-07-01,English,United States
Rodolfo,Sancho,1999-10-03,German,Korea
Fabrizio,Gifuni,1978-08-23,Korean,Spain
Park,Shin-hye,1991-02-09,English,Canada
Vice,Ganda,1992-06-09,French,Germany
Larry,the,1960-11-26,Japanese,China
Suhail,Dabbach,1979-05-30,Japanese,Korea
Sharon,Cuneta,1989-09-04,English,Korea
Brenton,Thwaites,1985-02-01,English,Spain
Shawn,Mendes,1960-07-29,French,United States
Vinoth,Kishan,1966-09-09,English,Spain
Noah,Kaye,1991-07-12,Spanish,China
Valeria,Bertuccelli,1962-05-24,Chinese,Japan
Jesse,Metcalfe,1993-05-05,English,Canada
Tamer,Hosny,1979-03-24,Japanese,Canada
Dolly,Parton,1966-12-09,Korean,Canada
Danny,Trejo,1978-02-08,Spanish,Germany
Robert,Agengo,1977-07-31,English,Spain
Keythe,Farley,1957-02-10,German,United States
Jackie,Long,1963-06-15,Chinese,France
Pavan,Malhotra,1970-04-08,Chinese,Japan
Ayushmann,Khurrana,1956-10-31,Japanese,Korea
John,Lloyd,1979-11-21,Spanish,United States
Nawazuddin,Siddiqui,1994-01-23,German,France
Boman,Irani,1972-06-01,Korean,China
Kanto,Shimokura,2000-09-22,English,Canada
Joel,Edgerton,1958-04-12,German,Germany
Bea,Santos,1975-10-17,French,China
Sarah,Troyer,1997-10-02,Spanish,Korea
Bing,Crosby,1974-12-14,Korean,Canada
Haley,Webb,1997-08-16,English,Germany
Viraaj,Modgill,1963-09-26,German,United States
Sophia,Loren,1968-12-29,Chinese,Germany
Luis,Tosar,1982-09-13,English,United States
Aga,Muhlach,1962-03-02,Japanese,Canada
Michael,B.,1954-12-06,Japanese,Spain
Renato,Quattordio,1984-06-16,Japanese,France
Brittany,Snow,1965-01-16,Spanish,China
Gloria,Groove,1980-02-19,Japanese,France
Lavinia,Wilson,1964-07-23,Spanish,United States
Temi,Otedola,1958-03-16,English,Canada
Wang,Yu-ping,1970-01-10,English,United States
Antonio,de,1973-02-18,German,Canada
Johnny,Simmons,1980-06-19,English,Korea
Nia,Fairweather,1983-04-18,Spanish,France
Liza,Soberano,1971-09-28,Japanese,United States
Natalie,Hall,1985-05-07,English,Korea
Angel,Locsin,1995-06-02,French,United States
Kat,Graham,1981-07-16,French,Canada
Kaitlyn,Leeb,1968-03-31,Spanish,Canada
Keerthy,Suresh,1965-07-07,English,United States
Felix,Lobrecht,1959-01-22,English,United States
Masami,Nagasawa,1963-05-30,Chinese,United States
Sophie,Thatcher,1950-11-11,Japanese,France
Danny,Glover,1962-12-11,English,Japan
Leslie,Bellair,1965-07-30,Chinese,Canada
Brad,Hyland,1953-12-13,English,United States
Josh,Hutcherson,2002-10-05,Chinese,United States
Fred,Savage,2000-01-10,Chinese,Canada
Christopher,Abbott,1970-05-16,Korean,United States
Joseph,Gordon-Levitt,1990-02-28,French,United States
Pat,Morita,1992-02-16,English,United States
Matt,Jones,1971-12-15,English,United States
Loo,Nascimento,1954-05-21,Korean,Canada
Thomas,Gullestad,2000-08-20,Japanese,Japan
Victoria,Barabas,1968-06-14,English,Japan
??p??,Dìrísù,1990-10-26,Korean,Canada
Chris,Attoh,1972-12-03,English,United States
Shabana,Azmi,1966-10-12,Japanese,Canada
Lannick,Gautry,1965-11-24,German,United States
Juli,Fàbregas,1984-03-20,English,Germany
Dane,DeHaan,1985-03-12,English,Spain
Sarah,Cooper,1996-03-25,Chinese,France
Mike,He,1982-11-01,French,Canada
Ranbir,Kapoor,1964-04-21,Chinese,United States
Hugo,Weaving,1957-07-10,French,China
Tilda,Cobham-Hervey,1985-08-31,Spanish,France
Anne,Celestino,1963-12-27,Japanese,Korea
Cathy,Ang,1980-04-29,French,China
Elizabeth,Bogush,1964-08-11,French,China
Gitte,Witt,1965-04-30,English,United States
Angelica,Panganiban,1996-01-08,English,Japan
Daniel,Mays,1969-11-02,Spanish,Korea
Natalia,Dyer,1983-03-30,French,Korea
Lily,James,2001-01-16,English,United States
Kate,McKinnon,1972-04-11,Japanese,Spain
Michael,Gross,1975-09-11,English,United States
Ezzat,El,1958-11-15,English,United States
Rodney,El,1960-01-11,French,Japan
Georges,Khabbaz,1969-04-21,Spanish,Canada
Philippe,Aractingi,1978-10-17,Spanish,Germany
Hadi,Bou,1992-04-14,Korean,Canada
Hippolyte,Girardot,2001-09-23,Chinese,United States
Rana,Eid,1970-01-05,Japanese,United States
Talal,El-Jordi,1998-08-26,Spanish,Canada
Flavia,Bechara,1951-11-19,French,United States
Soraya,Khoury,1971-10-18,French,Korea
Nada,Abou,1965-10-11,Korean,United States
Rami,Doueiri,1976-03-08,German,Germany
Rola,Beksmati,1955-01-27,Chinese,Spain
Nadia,Tueni,1950-12-17,English,Korea
Imad,Creidi,1962-11-06,German,China
Kodi,Smit-McPhee,1993-06-23,Spanish,Canada
Stu,Bennett,1991-08-08,Japanese,United States
Brenda,Wairimu,1974-08-02,English,Canada
Ethan,Hawke,1987-10-18,Chinese,United States
Carmen,Maura,1961-01-04,English,United States
Sacha,Baron,1964-07-03,German,China
Shelley,Hennig,1971-12-23,Chinese,Canada
Tamara,Smart,1970-07-18,English,United States
Kevin,Conroy,1959-10-07,German,China
Hassan,El,1987-09-02,English,China
Dian,Sastrowardoyo,1968-08-16,Korean,France
Jefri,Nichol,1968-04-08,English,Spain
Kai,Ko,1985-07-06,English,Germany
Fardeen,Khan,1991-07-15,Spanish,United States
Gulshan,Devaiah,1963-12-19,Japanese,Korea
Emily,Bader,1953-05-21,Chinese,United States
Yami,Gautam,1979-02-24,English,United States
Radha,Blank,1963-10-10,Chinese,Japan
Bigflo,&,1975-07-14,German,Germany
Brian,Maya,1981-06-04,English,Japan
Viktoriya,Isakova,1957-11-10,English,Germany
Madison,Pettis,1967-08-18,Korean,United States
Nahanni,Mitchell,1986-09-06,Chinese,United States
Noree,Victoria,2002-09-22,French,United States
Daniel,Levy,1986-11-13,Korean,Japan
Mert,Yaz?c?o?lu,1986-01-16,Chinese,China
Emre,Karayel,1999-03-10,English,China
Beverly,Osu,1984-10-15,Chinese,United States
Binnur,Kaya,1978-06-07,Korean,France
Jaden,Michael,1977-01-22,Korean,United States
Mauricio,Ochmann,1987-12-12,English,Korea
Hairul,Azreen,1984-07-04,French,United States
Ben,Kingsley,1992-05-30,Japanese,Japan
Tony,Kgoroge,1973-03-12,Spanish,United States
Sam,Neill,2003-11-14,Chinese,Canada
Tommy,the,1990-08-17,English,United States
Baraa,Alem,1975-02-04,English,United States
Scott,Eastwood,1981-05-28,English,United States
Taissa,Farmiga,2002-11-24,English,Canada
Camilla,Jo-Ann,1967-10-08,French,Spain
Brian,Ogola,1964-03-19,English,France
Michelle,Buteau,1954-06-15,Japanese,United States
Miriam,Makeba,1969-09-09,Korean,Japan
Naseeruddin,Shah,2002-01-12,English,Japan
Shahid,Kapoor,1978-12-25,English,Korea
Abhay,Deol,1988-06-12,French,Germany
Chirag,Malhotra,1975-09-02,German,Korea
Hugh,Jackman,2001-05-25,German,Korea
Millie,Bobby,1975-06-27,English,Canada
Woody,Harrelson,1997-04-07,German,China
Kenjiro,Yamashita,1990-02-16,Japanese,France
Takanori,Iwata,1963-05-19,Korean,United States
Karim,Abdel,1985-05-25,English,Canada
Gippy,Grewal,1962-01-28,English,France
Soham,Chakraborty,2001-11-25,English,France
Bhumi,Pednekar,1998-02-22,Korean,France
Andovi,da,1993-08-12,German,Spain
Maître,Gims,1998-10-08,French,Canada
Lizzie,Waterworth-Santo,1973-05-20,Chinese,Germany
Obinna,Nwachukwu,1984-07-15,Japanese,China
Tom,Holland,1992-09-23,English,Korea
Mario,Casas,1982-05-19,English,United States
Vanessa,Redgrave,1966-11-13,German,China
Michael,McIntyre,1980-03-05,French,Spain
Victor,Rasuk,1950-06-29,Spanish,France
Neil,Patrick,1990-01-08,English,China
Seyi,Shay,1975-08-05,German,Canada
Natalia,Coronado,1954-06-10,Chinese,Japan
Patrick,Roche,1965-01-08,Korean,Korea
Nana,Patekar,1977-10-15,Korean,Canada
Subodh,Bhave,1974-03-05,German,China
Sagar,Deshmukh,1978-05-11,German,United States
Hrishikesh,Joshi,2001-09-29,English,France
Madison,Reyes,1998-09-12,English,Korea
Rinku,Rajguru,1989-03-20,German,Canada
?ahin,Irmak,1977-02-10,English,France
Parna,Pethe,1971-06-11,Japanese,Canada
Sonalee,Kulkarni,1986-05-01,German,Canada
Christian,Loho,1979-04-10,English,France
Youssef,El,1957-03-12,Spanish,China
Judah,Lewis,1992-05-17,Chinese,United States
Vikrant,Massey,1983-08-04,Korean,Canada
Fathia,Youssouf,1971-10-01,French,China
Adrián,Suar,1996-09-20,Japanese,United States
Skyler,Gisondo,1984-12-24,Chinese,Canada
Yoo,Ah-in,1964-04-24,Spanish,United States
Bü?ra,Pekin,1973-02-03,English,Canada
Jessie,Buckley,1979-09-11,German,Canada
Toni,Gonzaga,2002-01-28,German,Spain
Afonso,Padilha,1971-08-18,Spanish,Germany
Rachael,Leigh,1982-03-06,Japanese,Korea
Cornelia,Gröschel,1984-05-01,Japanese,Spain
Son,Tung,2001-02-25,English,China
Mana,Ashida,1972-12-30,English,Canada
Nobunaga,Shimazaki,2002-07-26,German,Spain
Antonio,Banderas,1973-12-01,English,United States
Josh,Zuckerman,1952-07-16,English,China
Rakhee,Gulzar,1958-01-01,English,Canada
Thierry,Henry,1960-02-01,English,Korea
JP,Karliak,1964-12-29,English,Canada
Francesco,Pannofino,1978-11-04,English,France
Hank,Azaria,1970-05-26,Chinese,Canada
Michael,Angelis,1981-01-26,Korean,Canada
Michela,Luci,1970-07-02,Spanish,Canada
Jacob,Gregory,1970-05-25,Spanish,Japan
Aulii,Cravalho,1957-12-11,German,France
Paulo,Americano,1971-08-19,French,United States
Javier,Rey,1962-09-18,English,United States
Chris,Stafford,1996-05-15,Spanish,China
JC,Lin,1985-05-11,German,Japan
Adam,Greaves-Neal,1993-11-29,English,United States
Eamon,Farren,1982-06-08,German,Germany
Henry,Cavill,1996-11-22,Japanese,United States
Bobby,Deol,1958-03-06,German,Germany
Tenoch,Huerta,1984-02-17,English,United States
Sadie,Stanley,1958-05-11,English,Japan
Ahmed,Helmy,1965-08-28,English,Spain
Cecilia,Roth,1970-05-26,English,Canada
Adeniyi,Johnson,1955-07-03,Japanese,United States
Gading,Marten,1979-01-28,German,Japan
Jeff,Bridges,1957-05-30,English,Canada
Harman,Baweja,1951-09-12,English,United States
Yara,Shahidi,1994-06-14,English,Japan
Antonio,Bell,1987-05-21,English,United States
Teresa,Gallagher,1990-07-30,English,Japan
Mina,Farid,2000-04-10,French,United States
Rebecca,Hall,1960-10-10,English,United States
Brady,Corbet,1964-05-09,English,China
Janhvi,Kapoor,1958-09-22,English,Korea
Ty,Burrell,1964-06-03,English,China
Rob,Schneider,1969-02-05,German,Spain
Leslie,Bibb,1971-12-23,English,Japan
Alexandra,Daddario,1951-01-31,Chinese,Japan
Felicitas,Woll,1952-03-28,German,United States
Steven,Rinella,1983-05-04,French,Korea
Sabrina,Carpenter,1962-07-22,Korean,Japan
Natalia,Oreiro,1971-09-17,French,Korea
Nicolas,Anelka,1961-05-15,English,Canada
Ricardo,Hurtado,1983-07-06,English,France
Sam,Jay,1965-09-20,German,Germany
Scott,Evans,1963-03-23,Korean,Spain
Ken,Jeong,1976-04-01,German,United States
Elyse,Maloway,2001-02-20,Chinese,United States
Michiel,Huisman,1979-06-07,Spanish,Canada
Hannah,Emily,1994-10-11,Japanese,Japan
Ashley,Bornancin,1960-06-03,German,United States
Fulu,Mugovhani,1968-11-11,Spanish,United States
Hunter,March,1969-12-22,Korean,Korea
Junior,Béjar,1982-11-12,Korean,United States
Bovi,Ugboma,1981-11-24,Korean,France
Gil,Alexandre,2001-09-15,English,Germany
O.C.,Ukeje,1988-01-17,French,Spain
Maciej,Musia?owski,1975-11-13,English,China
Hannah,Marks,1998-02-23,English,Spain
Dolly,Ahluwalia,1952-08-13,German,Spain
Henry,Lau,1969-09-17,Chinese,Canada
Om,Puri,2002-10-05,Chinese,Canada
Emily,Blunt,1980-11-05,French,Canada
Odunlade,Adekola,1960-04-24,Japanese,France
Marta,Etura,1971-07-07,Japanese,Canada
Issey,Takahashi,1998-02-02,Japanese,United States
Hong,Bum-ki,1970-02-13,German,Japan
Bahle,Mashinini,1991-08-06,Japanese,Japan
Donnie,Yen,1983-05-20,English,Canada
Jack,Whitehall,1964-01-18,English,China
Bérénice,Bejo,1954-04-29,German,Germany
Nia,Long,2000-04-24,English,Germany
Virginie,Ledoyen,1996-09-21,Spanish,Korea
Jim,Iyke,1987-10-04,Spanish,Spain
Valerio,Mastandrea,1964-02-25,English,France
Urzila,Carlson,1984-06-20,English,United States
André,Odendaal,1964-03-20,French,Canada
Hesham,Maged,1973-02-02,Spanish,United States
Charlize,Theron,1977-05-16,English,France
Maaike,Neuville,1983-01-13,Korean,United States
Scott,Dixon,1954-01-26,German,United States
Walter,Mercado,1957-06-09,English,Spain
Tony,Revolori,1993-07-16,French,United States
Danny,DeVito,1955-11-02,Japanese,France
Stephon,Marbury,1979-01-23,French,United States
Rani,Mukerji,1991-02-23,French,Korea
Manish,Chaudhary,2001-02-15,French,Canada
Manoj,Bajpayee,1991-03-17,Chinese,Spain
Rishi,Kapoor,1953-03-14,Japanese,Spain
Paresh,Rawal,1964-04-30,English,Canada
Peemapol,Panichtamrong,1995-03-10,English,China
Arjun,Rampal,1969-08-05,English,France
John,Abraham,2003-05-19,English,Canada
Priyanka,Chopra,2000-04-29,Korean,China
Shiv,Pandit,1951-11-17,Japanese,Japan
Freida,Pinto,1969-03-02,German,Canada
Lukram,Smil,1990-06-11,Korean,China
Vinod,Khanna,2003-09-19,Chinese,China
Kartik,Aaryan,1951-04-14,English,United States
Kangana,Ranaut,1996-06-05,French,Spain
Rajeev,Khandelwal,1993-02-07,Chinese,China
Dimple,Kapadia,1961-08-30,English,China
Nasim,Pedrad,1984-05-10,English,Korea
Adipati,Dolken,1953-01-31,German,Canada
Jackie,Appiah,1963-07-12,Spanish,Korea
Thiago,Ventura,1997-11-06,English,China
Macy,Drouin,2002-11-13,German,United States
David,Foster,1954-03-14,English,Canada
Tommy,Lee,1983-07-08,Spanish,United States
Claire,Danes,1952-03-30,German,Canada
Eli,Brown,1950-08-06,English,Canada
Cristiano,Caccamo,1954-04-08,English,Germany
George,Lopez,1998-04-19,English,China
Edward,Kagutuzi,1980-08-23,Japanese,China
Beverly,Naya,2000-08-05,Japanese,China
Teresa,Palmer,1962-07-25,Spanish,France
Wale,Ojo,1964-09-29,Korean,United States
Ronwaldo,Martin,1992-05-06,Spanish,France
Siddhu,Jonnalagadda,1990-04-13,English,France
Tripti,Dimri,1983-05-25,German,Japan
Jorge,García,1991-01-28,English,China
Eric,André,1971-02-24,Japanese,Germany
Anna,Ben,1992-07-06,English,United States
Kirsten,Dunst,1972-03-27,French,United States
Jitendra,Kumar,2003-05-11,Spanish,Korea
Nour,El-Sherif,1998-04-30,English,Canada
Sofia,Carson,1997-11-07,Japanese,United States
Alban,Lenoir,1971-12-31,Korean,United States
Dilan,Çiçek,1961-06-27,English,France
Khaled,El,1978-05-04,Korean,France
Penélope,Cruz,1990-04-09,German,Germany
Mirai,Shida,1970-05-02,English,Canada
Naglaa,Fathi,1999-04-01,English,Canada
Youssef,Chahine,1984-12-03,Chinese,Spain
Farid,Shawqy,1982-05-16,Japanese,Canada
Faten,Hamama,1959-04-12,Spanish,France
Angie,Ferro,1993-05-04,Spanish,France
Ahmad,Mazhar,1990-05-02,Japanese,Canada
Nadine,Labaky,1966-06-11,Chinese,Japan
Omar,Sharif,1970-11-17,English,Germany
Hamdy,Ahmed,1978-09-09,Spanish,Spain
Aubrey,Plaza,1992-10-06,English,Korea
John,Schneider,1983-08-22,English,Canada
Omotola,Jalade-Ekeinde,1971-07-29,Chinese,China
Kevin,Bacon,1992-10-08,German,Japan
Kate,Henshaw-Nuttal,1954-09-22,Japanese,Japan
Vikram,Prabhu,1994-03-21,Chinese,Japan
Iqbaal,Ramadhan,1981-09-05,English,Spain
Sayani,Gupta,1961-08-09,Chinese,Canada
Delroy,Lindo,1952-05-13,French,Canada
Jo,Koy,1970-02-04,English,United States
Seiran,Kobayashi,1995-02-18,Japanese,United States
Fahad,Albutairi,1970-02-04,English,Japan
Fayez,Al-Malki,1960-01-08,Japanese,United States
Victor,Garber,1995-11-02,Korean,Canada
Luke,Wilson,1998-02-27,English,Korea
Kim,Da-mi,1998-03-25,French,United States
Anna-Maria,Sieklucka,1971-12-12,English,Spain
Rakesh,Batra,1954-07-30,Korean,Canada
Tye,Sheridan,1977-03-23,English,Korea
Maged,El,1985-11-27,Korean,France
Ashley,Judd,1954-06-18,English,United States
Saiyami,Kher,1957-07-02,Spanish,China
Jared,Padalecki,1965-01-22,Spanish,United States
Edgar,Ramírez,1961-04-16,Japanese,Korea
Bu?ra,Gülsoy,1996-05-05,Japanese,France
Ça?lar,Çorumlu,1973-05-21,English,Canada
Saoirse,Ronan,1985-10-02,Korean,Japan
Mohamed,Henedi,1956-03-30,English,Canada
Shaimaa,Abdelkader,1999-09-02,German,Canada
Hisham,Abdulrahman,1988-09-20,French,United States
Amina,Khalil,1981-09-18,Korean,China
Sunny,Pawar,1957-11-21,French,Canada
Tendaiishe,Chitima,1953-04-13,Korean,France
Saad,Abdullah,1977-04-12,English,Japan
Moka,Kamishiraishi,1951-02-18,Spanish,United States
Alice,Eve,1982-08-24,English,China
Juliet,Doherty,1960-06-20,Spanish,China
Ali,Al,1986-02-04,Japanese,Korea
Kenny,Sebastian,1988-10-06,German,Germany
Nabila,Ebeid,1958-01-09,French,United States
Saeed,Al-Sheryani,2003-10-27,German,Canada
Mansour,Al,1978-08-02,Chinese,Japan
Luisana,Lopilato,1991-06-27,English,Spain
Juan,Daniel,1994-08-09,English,Japan
Hannah,Gadsby,1963-05-28,Chinese,China
Lü,Yanting,1997-04-03,Chinese,France
Melissa,Benoist,1951-02-25,Korean,France
Rachel,Amanda,1979-06-30,Spanish,Korea
Rano,Karno,1969-02-28,French,United States
Swanky,JKA,2003-08-22,Spanish,Canada
Fumino,Kimura,1978-12-05,French,Spain
Issa,Rae,1973-08-27,English,France
Mike,Smith,1977-05-10,English,Canada
Abdulhussain,Abdulredah,1970-03-03,English,Germany
Loretto,Bernal,1991-05-05,Japanese,Spain
Said,Saleh,1980-05-21,English,Japan
Samir,Ghanem,1950-01-19,Korean,Japan
Suhair,El-Babili,1963-07-19,Spanish,United States
Adel,Imam,1993-09-07,French,Korea
Omoni,Oboli,1958-12-06,English,Japan
Ben,Platt,1982-03-23,English,Canada
Jessica,Sula,2003-10-24,Spanish,Canada
Salli,Richardson-Whitfield,1977-04-02,English,France
Gustavo,Egelhaaf,1973-09-28,English,Canada
Yashaswini,Dayama,1989-03-20,Japanese,Japan
Mai,Ezz,1973-04-22,English,Spain
Patton,Oswalt,1987-01-07,German,United States
Reem,Abdullah,1981-04-03,Japanese,China
Rita,Dominic,1979-01-25,German,France
Mohamed,El,1969-03-07,German,Canada
Farah,Shaer,1992-12-16,Korean,China
Quim,Gutiérrez,1960-02-01,English,Spain
Eric,Cantona,1974-12-19,English,Germany
Numthip,Jongrachatawiboon,1951-05-21,Spanish,Korea
Vanesha,Prescilla,2000-05-10,Chinese,United States
AlMulla,AbdulRahman,1990-09-07,English,Canada
Diana,Lein,1955-12-07,English,Canada
Jamal,Ibrahim,1966-08-06,English,Canada
Abdulmohsen,Al-Qaffas,1988-10-18,English,France
William,Hurt,1950-12-25,English,Japan
David,Spade,1956-02-05,English,France
Khalifa,Albhri,1984-01-13,French,Korea
Ellie,Kemper,1950-12-26,Chinese,Spain
Nick,Offerman,1991-08-20,English,Canada
Terry,Crews,1989-03-05,Spanish,Canada
Vittoria,Puccini,2000-08-17,Japanese,Germany
André,Holland,1957-01-26,Spanish,United States
Saga,Alyasery,1978-12-03,English,Japan
Faisal,Al,1967-01-24,Japanese,Canada
He,Xiaofeng,1955-02-15,German,Japan
Michelle,Obama,1987-02-27,Spanish,Canada
Jerry,Seinfeld,1966-12-17,Japanese,Canada
Luccas,Neto,1965-01-06,English,Germany
Anupam,Kher,1999-10-09,Korean,Korea
Sebastián,Wainraich,1975-01-02,Chinese,Germany
Michael,Roark,1950-04-11,Chinese,Korea
Ricardo,Quevedo,1983-03-14,French,Korea
Grace,Van,1962-01-25,English,Korea
Mike,Birbiglia,1964-06-03,English,United States
Josh,Swickard,2002-09-06,English,Spain
Jacqueline,Toboni,1982-04-08,Chinese,Korea
Jeffrey,Wright,1974-05-25,English,United States
Darrell,Hammond,1990-02-23,English,Korea
Adama,Niane,1997-10-02,English,Spain
Vincent,Ebrahim,1986-06-10,Korean,Korea
Jacqueline,Fernandez,1960-08-01,Korean,China
Udhayanidhi,Stalin,2001-09-04,English,Spain
Leah,Lewis,1958-08-28,Spanish,Korea
Amanda,Bynes,1962-06-24,French,China
Camila,Mendes,1999-02-04,English,United States
Danilo,Mesquita,1952-11-13,English,Japan
Kippei,Shiina,1960-02-08,Korean,Canada
Joseph,Chang,1953-10-25,English,Japan
Vaibhav,Reddy,1970-01-23,Japanese,Canada
Cezmi,Bask?n,1967-01-04,French,Japan
Sermiyan,Midyat,1989-07-30,English,China
Nurgül,Ye?ilçay,1980-09-22,English,United States
Eda,Ece,1957-11-15,Japanese,Germany
Halit,Ergenç,1967-02-03,Spanish,Japan
?brahim,Büyükak,1989-04-08,French,Japan
Kevin,Sorbo,1962-04-16,Chinese,Japan
Andrei,Selaru,1965-04-15,English,Korea
Moin,Khan,1965-05-23,Korean,Canada
Nitin,Reddy,1970-07-27,Spanish,Canada
Bob,Dylan,1952-12-19,French,Canada
Jean,Dujardin,1967-05-02,Chinese,France
Ahmed,El,1973-01-11,Spanish,Canada
Asser,Yassin,1968-01-26,Spanish,Japan
Kanan,Gill,1967-10-07,English,United States
Bunga,Citra,1982-04-04,Spanish,Japan
Lee,Je-hoon,1950-04-07,Spanish,Spain
Ma?gorzata,Ko?uchowska,1990-07-27,English,Spain
Adesua,Etomi,1984-09-14,English,Canada
Pedro,Alonso,1954-09-20,French,Japan
Will,Forte,1980-07-06,English,Spain
Thomas,Middleditch,1965-04-04,Korean,France
Müfit,Can,1973-08-24,French,Germany
Sami,Bouajila,1966-06-15,Korean,China
David,Kross,1970-09-18,German,France
Wagner,Moura,1957-12-28,English,United States
Néstor,Guzzini,1997-12-28,French,France
Josh,Brolin,1966-01-21,German,Japan
Aubrey,Peeples,1951-10-19,Japanese,Korea
Maurício,Meirelles,1974-09-04,German,China
Luis,Guzmán,1973-12-02,English,Canada
Asl?,?nand?k,1962-08-12,Chinese,Korea
Yassi,Pressman,1960-10-20,English,France
Suraj,Venjaramoodu,1955-08-26,English,Canada
Vijay,Deverakonda,1966-04-29,French,Canada
Chris,DElia,1960-11-15,Chinese,Germany
Jemima,Osunde,1968-02-19,Japanese,Germany
Robbie,Amell,1955-12-20,Spanish,France
Sam,Claflin,1973-01-05,Spanish,Japan
Zita,Hanrot,1993-12-31,English,Korea
Seth,Carr,1953-11-29,Spanish,Spain
Tzi,Ma,1974-10-07,English,Japan
Martin,del,1990-02-04,Spanish,China
Noah,Ringer,1970-02-15,German,Japan
Tiffany,Haddish,1974-03-10,English,China
Terry,Serpico,1999-08-07,French,Canada
Brooklynn,Prince,1985-09-07,English,France
Jessica,Madsen,1950-10-19,Japanese,Canada
Ed,Helms,1975-11-08,English,France
Steve,Buscemi,1969-09-23,Spanish,United States
Yui,Ishikawa,1964-08-28,English,Canada
Kaustav,Ghosh,2001-02-06,Chinese,Korea
David,Batra,1974-11-22,German,United States
Dilip,Kumar,2002-09-07,English,Spain
Sidharth,Malhotra,1954-09-12,English,Canada
Varun,Dhawan,1991-02-18,French,China
Raaj,Kumar,1968-09-24,German,United States
